#TYPE System.Management.Automation.PSCustomObject
"Server Name from DNS","IP Address","Port","Subject","Issuer","Public Key","Serial Number","Valid From","Valid to","Self Signed","Signature Algorithm"
"GLFILE.gentrylocke.com","192.168.100.39","443","CN=*.gentrylocke.com, OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=""GoDaddy.com, Inc."", L=Scottsdale, S=Arizona, C=US","2048","620178DA7E65B4A8","5/18/2018 4:32:57 PM","5/23/2020 2:18:48 PM","no","sha256RSA"
"glexch01.gentrylocke.com","192.168.100.65","443","CN=*.gentrylocke.com, OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=""GoDaddy.com, Inc."", L=Scottsdale, S=Arizona, C=US","2048","620178DA7E65B4A8","5/18/2018 4:32:57 PM","5/23/2020 2:18:48 PM","no","sha256RSA"
"GLAPP1.gentrylocke.com","192.168.100.70","443","C=US + S=CA + OU=ESG + L=Mountain View + O=Symantec Corporation + CN=GLAPP1.gentrylocke.com","C=US + S=CA + OU=ESG + L=Mountain View + O=Symantec Corporation + CN=GLAPP1.gentrylocke.com","1024","2980264EB1564B62685AAAD8725E8F5F","6/30/2018 10:10:39 AM","7/27/2028 10:10:39 AM","yes","sha256RSA"
,"192.168.100.73","443","CN=*.gentrylocke.com, OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=""GoDaddy.com, Inc."", L=Scottsdale, S=Arizona, C=US","2048","620178DA7E65B4A8","5/18/2018 4:32:57 PM","5/23/2020 2:18:48 PM","no","sha256RSA"
,"192.168.100.74","443","CN=*.gentrylocke.com, OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=""GoDaddy.com, Inc."", L=Scottsdale, S=Arizona, C=US","2048","620178DA7E65B4A8","5/18/2018 4:32:57 PM","5/23/2020 2:18:48 PM","no","sha256RSA"
"glxenddc1.gentrylocke.com","192.168.100.75","443","CN=*.gentrylocke.com, OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=""GoDaddy.com, Inc."", L=Scottsdale, S=Arizona, C=US","2048","620178DA7E65B4A8","5/18/2018 4:32:57 PM","5/23/2020 2:18:48 PM","no","sha256RSA"
"glxenddc2.gentrylocke.com","192.168.100.76","443","CN=*.gentrylocke.com, OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=""GoDaddy.com, Inc."", L=Scottsdale, S=Arizona, C=US","2048","620178DA7E65B4A8","5/18/2018 4:32:57 PM","5/23/2020 2:18:48 PM","no","sha256RSA"
,"192.168.100.80","443","E=techsupport@mercury-security.com, CN=Mercury Security PW-series, O=Mercury Security Corp., L=Long Beach, S=CA, C=US","E=techsupport@mercury-security.com, CN=Mercury Security Root CA, O=Mercury Security Corp.(Auth-1), L=Long Beach, S=CA, C=US","1024","00C383","11/3/2010 5:01:16 PM","9/2/2037 5:01:16 PM","no","sha1RSA"
,"192.168.100.81","443","E=techsupport@mercury-security.com, CN=Mercury Security PW-series, O=Mercury Security Corp., L=Long Beach, S=CA, C=US","E=techsupport@mercury-security.com, CN=Mercury Security Root CA, O=Mercury Security Corp.(Auth-1), L=Long Beach, S=CA, C=US","1024","00C383","11/3/2010 5:01:16 PM","9/2/2037 5:01:16 PM","no","sha1RSA"
,"192.168.100.82","443","E=techsupport@mercury-security.com, CN=Mercury Security PW-series, O=Mercury Security Corp., L=Long Beach, S=CA, C=US","E=techsupport@mercury-security.com, CN=Mercury Security Root CA, O=Mercury Security Corp.(Auth-1), L=Long Beach, S=CA, C=US","1024","00C383","11/3/2010 5:01:16 PM","9/2/2037 5:01:16 PM","no","sha1RSA"
,"192.168.100.86","443","OU=DAHUATECH, O=DAHUA, L=HANGZHOU, S=ZHEJIANG, C=CN, CN=192.168.1.108","O=DahuaTech, L=HangZhou, S=ZheJiang, C=CN, CN=Product Root CA","1024","393030326139383030336331","6/18/2013 5:16:23 AM","6/19/2016 5:16:23 AM","no","sha1RSA"
"GLAPP3.gentrylocke.com","192.168.100.91","443","CN=glapp3.gentrylocke.com","CN=glapp3.gentrylocke.com","2048","7774FB57ABA1B3914A354972D4C2447B","7/27/2018 10:06:03 AM","7/27/2019 10:06:03 AM","yes","sha256RSA"
"GLAPP8.gentrylocke.com","192.168.100.110","443","CN=*.gentrylocke.com, OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=""GoDaddy.com, Inc."", L=Scottsdale, S=Arizona, C=US","2048","620178DA7E65B4A8","5/18/2018 4:32:57 PM","5/23/2020 2:18:48 PM","no","sha256RSA"
"glnetapp01.gentrylocke.com","192.168.100.142","443","E=administrator@gentrylocke.com, OU=IT, O=""Gentry Locke "", L=Roanoke, S=Virginia, C=US, CN=GLNETAPP01.gentrylocke.com","E=administrator@gentrylocke.com, OU=IT, O=""Gentry Locke "", L=Roanoke, S=Virginia, C=US, CN=GLNETAPP01.gentrylocke.com","2048","00","10/30/2018 4:24:44 PM","10/26/2033 4:24:44 PM","yes","sha256RSA"
"glnetapp02.gentrylocke.com","192.168.100.143","443","E=administrator@gentrylocke.com, OU=IT, O=Gentry Locke, L=Roanoke, S=Virginia, C=US, CN=GLNETAPP02.gentrylocke.com","E=administrator@gentrylocke.com, OU=IT, O=Gentry Locke, L=Roanoke, S=Virginia, C=US, CN=GLNETAPP02.gentrylocke.com","2048","00","10/30/2018 4:24:33 PM","10/26/2033 4:24:33 PM","yes","sha256RSA"
,"192.168.100.250","443","CN=barracuda.barracudanetworks.com, OU=Engineering, O=Barracuda Networks, L=Campbell, S=California, C=US","CN=barracuda.barracudanetworks.com, OU=Engineering, O=Barracuda Networks, L=Campbell, S=California, C=US","2048","01F31CCD","5/20/2016 3:22:39 AM","5/18/2026 3:22:39 AM","yes","sha256RSA"
,"192.168.100.251","443","CN=barracuda.barracudanetworks.com, OU=Engineering, O=Barracuda Networks, L=Campbell, S=California, C=US","CN=barracuda.barracudanetworks.com, OU=Engineering, O=Barracuda Networks, L=Campbell, S=California, C=US","2048","01F31CCD","5/20/2016 3:22:39 AM","5/18/2026 3:22:39 AM","yes","sha256RSA"
,"192.168.100.253","443","E=support@vmware.com, CN=VMware default certificate, OU=vCenterServer_2014.06.07_055502, O=""VMware, Inc.""","E=support@vmware.com, CN=GEN1ROMVC01.gentrylocke.com, OU=vCenterServer_2014.06.07_055502, O=""VMware, Inc.""","2048","100002","6/6/2014 6:03:06 AM","6/4/2024 6:03:07 AM","no","sha256RSA"
